"KoordID","x","y","Anthus.spinoletta","Milvus.migrans","Turdus.torquatus","Sylvia.borin","Hirundo.rustica","Passer.montanus","Motacilla.cinerea","Emberiza.citrinella","Certhia.brachydactyla","Picus.viridis","Aegithalos.caudatus","Pica.pica","Dryocopus.martius","Muscicapa.striata","Sturnus.vulgaris","Passer.domesticus","Parus.montanus","Carduelis.carduelis","Nucifraga.caryocatactes","Cuculus.canorus","Pyrrhula.pyrrhula","Serinus.serinus","Carduelis.cannabina","Turdus.pilaris","Falco.tinnunculus","Loxia.curvirostra","Carduelis.chloris","Corvus.corax","Anthus.trivialis","Milvus.milvus"
605254,605000,254000,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
605262,605000,262000,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
611110,611000,110000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611126,611000,126000,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0
611142,611000,142000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
611158,611000,158000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
611174,611000,174000,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1
611190,611000,190000,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1
611206,611000,206000,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1
611222,611000,222000,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0
611238,611000,238000,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1
611246,611000,246000,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0
611254,611000,254000,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
611270,611000,270000,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
